-50,50,0
-40.76434008,49.82505345,1.3625986
-27.77535185,49.32787819,1.525747466
-14.78521041,48.87556887,1.688896333
-1.793830492,48.4601419,1.8520452
11.19867963,48.08171082,2.015194067
24.19221466,47.74027718,2.178342933
37.18666923,47.43584377,2.3414918
50.18193799,47.16841306,2.504640667
63.17791558,46.93798721,2.667789533
76.17449661,46.74456809,2.8309384
89.1715757,46.58815728,2.994087267
102.1690475,46.46875604,3.157236133
115.1668066,46.38636534,3.320385
128.1647476,46.34098584,3.483533867
141.1627651,46.33261792,3.646682733
154.1607537,46.36126164,3.8098316
167.1586081,46.42691677,3.972980467
180.1562229,46.52958278,4.136129333
193.1534926,46.66925884,4.2992782
206.1503119,46.84594381,4.462427067
219.1465754,47.05963625,4.625575933
232.1421777,47.31033445,4.7887248
245.1370135,47.59803636,4.951873667
258.1309774,47.92273965,5.115022533
271.123964,48.28444169,5.2781714
284.115868,48.68313955,5.441320267
297.106584,49.11883,5.604469133
310.0960068,49.59150949,5.767618
323.0840309,50.1011742,5.930766867
336.0705511,50.64782,6.093915733
349.0554622,51.23144246,6.2570646
362.0386587,51.85203683,6.420213467
375.0200354,52.5095981,6.583362333
387.9994872,53.20412092,6.7465112
400.9769087,53.93559967,6.909660067
413.9521947,54.70402842,7.072808934
426.92524,55.50940093,7.2359578
439.8959394,56.35171068,7.399106667
452.8641878,57.23095084,7.562255534
465.82988,58.14711427,7.7254044
478.7929108,59.10019355,7.888553267
491.7531753,60.09018095,8.051702134
504.7105682,61.11706845,8.214851
517.6649846,62.18084771,8.377999867
530.6163193,63.28151011,8.541148734
543.5644674,64.41904674,8.7042976
556.5093239,65.59344836,8.867446467
569.4507839,66.80470545,9.030595334
582.3887423,68.05280819,9.1937442
595.3230944,69.33774646,9.356893067
608.2537352,70.65950985,9.520041934
621.1805598,72.01808763,9.6831908
634.1034636,73.41346879,9.846339667
647.0223416,74.84564202,10.00948853
659.9370891,76.3145957,10.1726374
672.8476015,77.82031793,10.33578627
685.7537741,79.36279649,10.49893513
698.6555021,80.94201888,10.662084
711.552681,82.5579723,10.82523287
724.4452062,84.21064363,10.98838173
